channel,region,city_tier,order_count,total_net_revenue_inr,total_discount_inr,total_fulfillment_cost_inr,fulfillment_cost_pct,return_count,return_rate_pct,total_pocket_profit_inr,pocket_margin_pct
E-Commerce Direct,East,Tier 1,44,12766878.710000003,4185500.2899999996,1049077.81,8.22,3.0,6.82,-1782110.6900000006,-13.96
E-Commerce Direct,East,Tier 2,32,8718082.900000002,1337665.1,886029.6399999998,10.16,5.0,15.63,-78068.97000000003,-0.9
E-Commerce Direct,East,Tier 3,20,3349361.7800000003,2011121.22,461253.93,13.77,0.0,0.0,-368477.95,-11.0
E-Commerce Direct,North,Tier 1,46,9912928.999999996,2322366.9999999995,837219.3699999999,8.45,3.0,6.52,835361.6399999998,8.43
E-Commerce Direct,North,Tier 2,44,7724289.9799999995,2686053.02,801681.6900000003,10.38,2.0,4.55,-1093500.5699999998,-14.16
E-Commerce Direct,North,Tier 3,13,681990.3300000001,52839.670000000006,91205.31999999999,13.37,4.0,30.77,-4064.7300000000005,-0.6
E-Commerce Direct,South,Tier 1,36,2235693.76,482923.24,199414.22,8.92,4.0,11.11,340337.0,15.22
E-Commerce Direct,South,Tier 2,32,6546817.06,2790239.9400000004,682304.3700000001,10.42,2.0,6.25,-1113752.61,-17.01
E-Commerce Direct,South,Tier 3,9,1423434.68,369882.32,192265.72000000003,13.51,0.0,0.0,81928.51000000001,5.76
E-Commerce Direct,West,Tier 1,39,1071382.1600000001,136216.83999999997,94597.90999999997,8.83,4.0,10.26,132246.99999999997,12.34
E-Commerce Direct,West,Tier 2,35,1756088.5899999999,483373.41,191931.10000000006,10.93,3.0,8.57,249257.75999999998,14.19
E-Commerce Direct,West,Tier 3,15,307331.58,21730.42,41619.109999999986,13.54,2.0,13.33,30392.309999999998,9.89
E-Commerce Marketplace,East,Tier 1,35,3025778.3000000003,569379.7000000001,386881.45000000007,12.79,2.0,5.71,238213.97,7.87
E-Commerce Marketplace,East,Tier 2,42,9417150.52,1685232.4799999995,1431660.5199999998,15.2,1.0,2.38,-673933.1099999999,-7.16
E-Commerce Marketplace,East,Tier 3,12,1389286.22,911079.78,283446.12000000005,20.4,0.0,0.0,-622711.2100000001,-44.82
E-Commerce Marketplace,North,Tier 1,39,9336590.440000003,4076607.56,1159034.6,12.41,4.0,10.26,-1462157.5900000003,-15.66
E-Commerce Marketplace,North,Tier 2,55,3904062.920000001,667939.0800000001,603769.0600000002,15.47,4.0,7.27,423652.9400000001,10.85
E-Commerce Marketplace,North,Tier 3,8,999993.8900000001,205233.11000000002,204756.74,20.48,0.0,0.0,-178893.03000000003,-17.89
E-Commerce Marketplace,South,Tier 1,41,10715658.910000002,4780998.09,1309139.8699999994,12.22,3.0,7.32,-1552019.8100000003,-14.48
E-Commerce Marketplace,South,Tier 2,38,7190558.12,5052545.88,1099243.37,15.29,3.0,7.89,-2944065.5100000002,-40.94
E-Commerce Marketplace,South,Tier 3,15,411972.15,85067.85,84558.04,20.53,1.0,6.67,356.37999999999926,0.09
E-Commerce Marketplace,West,Tier 1,32,5157380.5,714496.4999999999,640652.7499999999,12.42,0.0,0.0,333067.49,6.46
E-Commerce Marketplace,West,Tier 2,25,3564115.54,1233734.4599999997,551191.29,15.47,3.0,12.0,-705643.2800000001,-19.8
E-Commerce Marketplace,West,Tier 3,17,149069.66,10768.339999999998,30683.090000000004,20.58,2.0,11.76,10408.33,6.98
Physical Store,East,Tier 1,1529,237773816.64999983,51096769.35000005,10583529.530000003,4.45,0.0,0.0,13127595.969999965,5.52
Physical Store,East,Tier 2,1341,192523285.1299999,42320419.87000002,8563447.489999987,4.45,0.0,0.0,16121704.389999978,8.37
Physical Store,East,Tier 3,650,135761409.31,23724892.69,5816655.249999996,4.28,0.0,0.0,10469868.600000001,7.71
Physical Store,North,Tier 1,1536,194879317.1499999,40599443.85000004,8073347.630000014,4.14,0.0,0.0,12620531.48,6.48
Physical Store,North,Tier 2,1670,222554648.71,50218237.29000004,9631427.919999987,4.33,0.0,0.0,11752308.419999953,5.28
Physical Store,North,Tier 3,553,27248516.510000028,5805994.490000002,1213471.9100000004,4.45,0.0,0.0,2570528.0500000003,9.43
Physical Store,South,Tier 1,1501,197784569.58999968,47278946.410000026,8891523.939999994,4.5,0.0,0.0,14651655.910000008,7.41
Physical Store,South,Tier 2,1308,160244779.22999993,36813611.76999994,6890749.339999988,4.3,0.0,0.0,9869346.039999997,6.16
Physical Store,South,Tier 3,606,43151081.029999994,14652614.969999993,1906972.3599999992,4.42,0.0,0.0,97486.94000000063,0.23
Physical Store,West,Tier 1,1502,210330234.52999976,48208367.46999994,9649837.019999996,4.59,0.0,0.0,9742891.499999974,4.63
Physical Store,West,Tier 2,1412,228888655.37999988,55226385.61999995,9952384.259999985,4.35,0.0,0.0,14429346.98000003,6.3
Physical Store,West,Tier 3,668,35540442.8,9570137.200000001,1464950.2399999995,4.12,0.0,0.0,1084704.03,3.05
