product_id,sku_code,product_name,category,subcategory,brand,list_price_inr,base_cogs_inr,price_elasticity_target,total_units_sold,total_gross_revenue_inr,total_discount_inr,total_net_revenue_inr,total_cogs_inr,total_gross_margin_inr,avg_gross_margin_pct,total_fulfillment_cost_inr,total_return_cost_inr,total_pocket_profit_inr,avg_pocket_margin_pct,avg_discount_waterfall_pct,avg_competitor_price_index
PROD_1027,SKU-CON-AUD-1027,AuraGadgets Audio & Headphone V3,Consumer Electronics,Audio & Headphones,AuraGadgets,68209,58323.52,-1.6,1255.0,85602295.0,21193627.67,64408667.32999998,73196017.60000001,-8787350.27,-13.64,4120937.8900000015,0.0,-9411355.969999999,-14.61,11.61,0.999
PROD_1024,SKU-CON-AUD-1024,VoltDevices Audio & Headphone V3,Consumer Electronics,Audio & Headphones,VoltDevices,57419,47305.92,-1.8,1285.0,73783415.0,13686794.789999997,60096620.20999998,60788107.20000003,-691486.9900000022,-1.15,3217255.3099999996,368490.26,-2236865.61,-3.72,8.52,1.003
PROD_1031,SKU-CON-LAP-1031,TechMax Laptops & Tablet V1,Consumer Electronics,Laptops & Tablets,TechMax,60849,48094.49,-2.11,1083.0,65899467.0,9213816.440000001,56685650.559999995,52086332.669999965,4599317.889999999,8.11,2423050.2399999998,0.0,2941139.5799999987,5.19,8.85,1.02
PROD_1014,SKU-CON-SMA-1014,KritiTech Smartphone V2,Consumer Electronics,Smartphones,KritiTech,70549,55770.2,-1.46,923.0,65116727.0,10711736.840000002,54404990.16,51475894.599999994,2929095.5600000015,5.38,2563591.2800000003,0.0,756472.7300000002,1.39,6.93,1.018
PROD_1006,SKU-CON-SMA-1006,SonicX Smartphone V3,Consumer Electronics,Smartphones,SonicX,46469,40244.51,-1.91,1306.0,60688514.0,7487642.899999999,53200871.1,52559330.06,641541.0400000002,1.21,2368742.4,0.0,-869434.73,-1.63,8.39,1.033
PROD_1021,SKU-CON-AUD-1021,SonicX Audio & Headphone V3,Consumer Electronics,Audio & Headphones,SonicX,64939,53098.68,-2.15,961.0,62406379.0,12365099.940000001,50041279.06000001,51027831.47999995,-986552.4199999996,-1.97,2242832.6100000017,0.0,55541.29000000025,0.11,8.68,0.997
PROD_1029,SKU-CON-AUD-1029,KritiTech Audio & Headphone V2,Consumer Electronics,Audio & Headphones,KritiTech,69829,55806.5,-1.5,883.0,61659007.0,13324909.440000001,48334097.559999995,49277139.5,-943041.9400000004,-1.95,2017711.2300000007,0.0,101157.71000000037,0.21,7.69,1.018
PROD_1036,SKU-CON-LAP-1036,SonicX Laptops & Tablet V3,Consumer Electronics,Laptops & Tablets,SonicX,72239,61751.47,-1.96,771.0,55696269.0,9041216.55,46655052.449999996,47610383.36999995,-955330.9200000027,-2.05,1754585.3199999994,0.0,-1534298.7499999984,-3.29,9.21,1.016
PROD_1023,SKU-CON-AUD-1023,VoltDevices Audio & Headphone V2,Consumer Electronics,Audio & Headphones,VoltDevices,66709,55553.82,-1.63,786.0,52433274.0,8327618.020000001,44105655.980000004,43665302.52000003,440353.4600000004,1.0,1858254.7799999993,0.0,772128.47,1.75,7.26,1.03
PROD_1050,SKU-CON-WEA-1050,SonicX Wearable V2,Consumer Electronics,Wearables,SonicX,54859,43354.46,-1.58,1006.0,55188154.0,11338861.559999999,43849292.44,43614586.76000004,234705.68000000055,0.54,2221077.2700000014,0.0,-569528.2099999998,-1.3,10.43,1.02
PROD_1003,SKU-CON-SMA-1003,TechMax Smartphone V3,Consumer Electronics,Smartphones,TechMax,45679,36963.12,-1.42,1217.0,55591343.0,12146137.47,43445205.53,44984117.03999998,-1538911.51,-3.54,1898543.8100000003,0.0,-1949192.3800000004,-4.49,11.56,1.008
PROD_1044,SKU-CON-LAP-1044,KritiTech Laptops & Tablet V2,Consumer Electronics,Laptops & Tablets,KritiTech,39139,33555.84,-2.06,1326.0,51898314.0,11062638.34,40835675.66000001,44495043.84000002,-3659368.1800000006,-8.96,1748974.1399999992,0.0,-3523494.1900000004,-8.63,9.96,1.007
PROD_1058,SKU-CON-WEA-1058,KritiTech Wearable V1,Consumer Electronics,Wearables,KritiTech,67059,54779.57,-1.8,692.0,46404828.0,6523767.75,39881060.25,37907462.44000001,1973597.8099999996,4.95,1685827.7399999998,0.0,1646090.3499999996,4.13,9.28,0.999
PROD_1052,SKU-CON-WEA-1052,VoltDevices Wearable V1,Consumer Electronics,Wearables,VoltDevices,46069,40498.35,-1.67,1050.0,48372450.0,9228403.869999997,39144046.129999995,42523267.500000015,-3379221.37,-8.63,1666027.3200000005,13030.4,-2713565.0900000003,-6.93,6.81,0.988
PROD_1020,SKU-CON-AUD-1020,SonicX Audio & Headphone V2,Consumer Electronics,Audio & Headphones,SonicX,58189,50775.46,-2.11,780.0,45387420.0,7742919.28,37644500.720000006,39604858.800000034,-1960358.0799999987,-5.21,1873490.5799999996,24627.58,-3234713.4399999995,-8.59,8.87,1.0
PROD_1004,SKU-CON-SMA-1004,SonicX Smartphone V1,Consumer Electronics,Smartphones,SonicX,62679,53826.6,-2.05,730.0,45755670.0,9490352.739999998,36265317.25999999,39293418.000000015,-3028100.7400000007,-8.35,1498130.3599999999,0.0,-2723539.18,-7.51,10.6,1.005
