customer_id,customer_name,customer_type,region,city_tier,contract_discount_pct,join_date
CUST_00001,Client Account 0001,B2B SMB,West,Tier 2,0.084,2022-10-23
CUST_00002,Client Account 0002,Retail Gold,West,Tier 2,0.0,2022-08-15
CUST_00003,Client Account 0003,Retail Standard,East,Tier 2,0.0,2023-02-10
CUST_00004,Client Account 0004,Retail Standard,North,Tier 1,0.0,2022-05-28
CUST_00005,Client Account 0005,Retail Platinum,West,Tier 1,0.065,2022-12-31
CUST_00006,Client Account 0006,Retail Platinum,North,Tier 2,0.053,2023-12-14
CUST_00007,Client Account 0007,Retail Gold,North,Tier 2,0.0,2023-09-08
CUST_00008,Client Account 0008,Retail Gold,East,Tier 1,0.0,2023-05-13
CUST_00009,Client Account 0009,Retail Standard,West,Tier 3,0.0,2022-04-12
CUST_00010,Client Account 0010,Retail Silver,East,Tier 1,0.0,2022-01-17
CUST_00011,Client Account 0011,Retail Standard,East,Tier 2,0.0,2022-01-12
CUST_00012,Client Account 0012,Retail Silver,West,Tier 2,0.0,2023-10-23
CUST_00013,Client Account 0013,Retail Standard,North,Tier 2,0.0,2023-12-11
CUST_00014,Client Account 0014,Retail Standard,South,Tier 2,0.0,2023-10-17
CUST_00015,Client Account 0015,Retail Silver,North,Tier 3,0.0,2022-02-16
CUST_00016,Client Account 0016,B2B Enterprise,West,Tier 3,0.168,2022-03-27
CUST_00017,Client Account 0017,Retail Standard,South,Tier 1,0.0,2023-06-03
CUST_00018,Client Account 0018,Retail Gold,West,Tier 1,0.0,2023-12-28
CUST_00019,Client Account 0019,Retail Standard,East,Tier 3,0.0,2023-02-06
CUST_00020,Client Account 0020,Retail Silver,East,Tier 1,0.0,2022-06-08
CUST_00021,Client Account 0021,Retail Gold,West,Tier 1,0.0,2022-04-08
CUST_00022,Client Account 0022,Retail Standard,East,Tier 1,0.0,2022-07-02
CUST_00023,Client Account 0023,Retail Gold,East,Tier 1,0.0,2023-05-12
CUST_00024,Client Account 0024,Retail Silver,South,Tier 1,0.0,2023-12-23
CUST_00025,Client Account 0025,Retail Silver,North,Tier 2,0.0,2023-03-26
CUST_00026,Client Account 0026,B2B Enterprise,South,Tier 3,0.15,2022-05-21
CUST_00027,Client Account 0027,Retail Gold,West,Tier 2,0.0,2022-02-08
CUST_00028,Client Account 0028,B2B Enterprise,North,Tier 2,0.19,2022-09-02
CUST_00029,Client Account 0029,Retail Silver,West,Tier 3,0.0,2022-08-27
CUST_00030,Client Account 0030,Retail Gold,South,Tier 1,0.0,2022-12-25
CUST_00031,Client Account 0031,Retail Silver,North,Tier 1,0.0,2022-01-03
CUST_00032,Client Account 0032,Retail Silver,West,Tier 1,0.0,2022-11-20
CUST_00033,Client Account 0033,Retail Standard,North,Tier 1,0.0,2023-12-06
CUST_00034,Client Account 0034,Retail Standard,East,Tier 1,0.0,2022-12-10
CUST_00035,Client Account 0035,B2B SMB,East,Tier 3,0.127,2023-01-15
CUST_00036,Client Account 0036,Retail Gold,West,Tier 3,0.0,2022-12-10
CUST_00037,Client Account 0037,Retail Silver,North,Tier 3,0.0,2023-12-12
CUST_00038,Client Account 0038,Retail Standard,East,Tier 1,0.0,2023-07-29
CUST_00039,Client Account 0039,Retail Platinum,East,Tier 2,0.057,2022-08-14
CUST_00040,Client Account 0040,Retail Gold,North,Tier 1,0.0,2022-09-16
CUST_00041,Client Account 0041,Retail Standard,North,Tier 1,0.0,2022-02-16
CUST_00042,Client Account 0042,Retail Platinum,North,Tier 3,0.08,2023-07-27
CUST_00043,Client Account 0043,Retail Gold,East,Tier 2,0.0,2022-03-03
CUST_00044,Client Account 0044,Retail Standard,East,Tier 3,0.0,2022-04-30
CUST_00045,Client Account 0045,Retail Standard,North,Tier 2,0.0,2022-12-23
CUST_00046,Client Account 0046,B2B SMB,North,Tier 1,0.096,2023-06-25
CUST_00047,Client Account 0047,Retail Standard,North,Tier 3,0.0,2022-06-19
CUST_00048,Client Account 0048,Retail Standard,West,Tier 3,0.0,2023-01-30
CUST_00049,Client Account 0049,B2B SMB,West,Tier 1,0.08,2022-09-08
CUST_00050,Client Account 0050,Retail Standard,South,Tier 2,0.0,2022-02-06
CUST_00051,Client Account 0051,Retail Platinum,North,Tier 3,0.08,2022-04-24
CUST_00052,Client Account 0052,Retail Silver,West,Tier 2,0.0,2022-04-25
CUST_00053,Client Account 0053,Retail Standard,West,Tier 2,0.0,2022-02-09
CUST_00054,Client Account 0054,Retail Silver,North,Tier 2,0.0,2022-08-04
