product_id,sku_code,product_name,category,subcategory,brand,list_price_inr,base_cogs_inr,weight_kg,price_elasticity_target,is_active
PROD_1001,SKU-CON-SMA-1001,TechMax Smartphone V1,Consumer Electronics,Smartphones,TechMax,29029,22785.69,4.08,-1.72,True
PROD_1002,SKU-CON-SMA-1002,TechMax Smartphone V2,Consumer Electronics,Smartphones,TechMax,12969,11210.41,0.51,-1.51,True
PROD_1003,SKU-CON-SMA-1003,TechMax Smartphone V3,Consumer Electronics,Smartphones,TechMax,45679,36963.12,0.31,-1.42,True
PROD_1004,SKU-CON-SMA-1004,SonicX Smartphone V1,Consumer Electronics,Smartphones,SonicX,62679,53826.6,1.16,-2.05,True
PROD_1005,SKU-CON-SMA-1005,SonicX Smartphone V2,Consumer Electronics,Smartphones,SonicX,23859,19743.9,2.49,-1.97,True
PROD_1006,SKU-CON-SMA-1006,SonicX Smartphone V3,Consumer Electronics,Smartphones,SonicX,46469,40244.51,1.75,-1.91,True
PROD_1007,SKU-CON-SMA-1007,VoltDevices Smartphone V1,Consumer Electronics,Smartphones,VoltDevices,35019,28067.11,1.26,-1.79,True
PROD_1008,SKU-CON-SMA-1008,VoltDevices Smartphone V2,Consumer Electronics,Smartphones,VoltDevices,45039,39425.11,3.42,-2.06,True
PROD_1009,SKU-CON-SMA-1009,VoltDevices Smartphone V3,Consumer Electronics,Smartphones,VoltDevices,6279,4929.71,5.32,-1.55,True
PROD_1010,SKU-CON-SMA-1010,AuraGadgets Smartphone V1,Consumer Electronics,Smartphones,AuraGadgets,23889,20788.99,3.83,-1.85,True
PROD_1011,SKU-CON-SMA-1011,AuraGadgets Smartphone V2,Consumer Electronics,Smartphones,AuraGadgets,10469,8694.32,0.38,-1.47,True
PROD_1012,SKU-CON-SMA-1012,AuraGadgets Smartphone V3,Consumer Electronics,Smartphones,AuraGadgets,20519,16697.29,1.85,-1.78,True
PROD_1013,SKU-CON-SMA-1013,KritiTech Smartphone V1,Consumer Electronics,Smartphones,KritiTech,41679,35907.07,5.34,-1.58,True
PROD_1014,SKU-CON-SMA-1014,KritiTech Smartphone V2,Consumer Electronics,Smartphones,KritiTech,70549,55770.2,3.37,-1.46,True
PROD_1015,SKU-CON-SMA-1015,KritiTech Smartphone V3,Consumer Electronics,Smartphones,KritiTech,7999,6882.35,0.44,-1.94,True
PROD_1016,SKU-CON-AUD-1016,TechMax Audio & Headphone V1,Consumer Electronics,Audio & Headphones,TechMax,30069,25644.8,4.59,-1.91,True
PROD_1017,SKU-CON-AUD-1017,TechMax Audio & Headphone V2,Consumer Electronics,Audio & Headphones,TechMax,22149,18289.1,0.95,-1.56,True
PROD_1018,SKU-CON-AUD-1018,TechMax Audio & Headphone V3,Consumer Electronics,Audio & Headphones,TechMax,6979,5452.77,4.29,-2.04,True
PROD_1019,SKU-CON-AUD-1019,SonicX Audio & Headphone V1,Consumer Electronics,Audio & Headphones,SonicX,1899,1516.26,3.95,-1.62,True
PROD_1020,SKU-CON-AUD-1020,SonicX Audio & Headphone V2,Consumer Electronics,Audio & Headphones,SonicX,58189,50775.46,2.1,-2.11,True
PROD_1021,SKU-CON-AUD-1021,SonicX Audio & Headphone V3,Consumer Electronics,Audio & Headphones,SonicX,64939,53098.68,1.95,-2.15,True
