transaction_id,date,customer_id,product_id,category,region,channel,units,list_price,selling_price,discount,discount_pct,revenue,variable_cost,gross_profit,promotion_flag,promotion_type,customer_segment
TXN_000001,2024-03-25,CST_0655,PRD_115,Consumer Electronics,North-East,E-Commerce Marketplace,4,39529.0,34785.52,4743.48,12.0,139142.08,156496.11,-17354.03,1,Flash Wednesday,Retail Gold
TXN_000002,2025-03-25,CST_0229,PRD_118,Apparel & Fashion,North-East,E-Commerce Direct,1,4849.0,4849.0,0.0,0.0,4849.0,2319.38,2529.62,0,Baseline / None,Retail Silver
TXN_000003,2024-08-08,CST_0559,PRD_112,Consumer Electronics,North,Physical Retail Store,4,20759.0,20759.0,0.0,0.0,83036.0,74181.36,8854.64,0,Baseline / None,Retail Standard
TXN_000004,2024-05-12,CST_0033,PRD_104,Consumer Electronics,North-East,Physical Retail Store,1,6129.0,5393.52,735.48,12.0,5393.52,5132.32,261.2,1,Flash Wednesday,Retail Gold
TXN_000005,2024-10-26,CST_0239,PRD_165,Footwear,South,E-Commerce Direct,3,839.0,839.0,0.0,0.0,2517.0,1505.34,1011.66,0,Baseline / None,Retail Silver
TXN_000006,2024-12-08,CST_0719,PRD_170,Beauty & Cosmetics,Central,E-Commerce Marketplace,2,1459.0,1459.0,0.0,0.0,2918.0,1271.2,1646.8,0,Baseline / None,Retail Gold
TXN_000007,2024-12-29,CST_0285,PRD_101,Consumer Electronics,North-East,Quick-Commerce,118,25909.0,23784.46,2124.54,8.2,2806566.28,2764585.4,41980.88,0,Baseline / None,B2B SMB
TXN_000008,2024-01-21,CST_0164,PRD_155,FMCG & Personal Care,West,Physical Retail Store,3,412.12,288.48,123.64,30.0,865.44,1018.09,-152.65,1,EOSS Clearance,Retail Gold
TXN_000009,2024-12-01,CST_0160,PRD_128,Apparel & Fashion,Central,E-Commerce Direct,4,3229.0,3229.0,0.0,0.0,12916.0,5884.84,7031.16,0,Baseline / None,Retail Standard
TXN_000010,2025-02-02,CST_0095,PRD_149,FMCG & Personal Care,North-East,Physical Retail Store,3,749.0,659.12,89.88,12.0,1977.36,1752.38,224.98,1,Flash Wednesday,Retail Platinum
TXN_000011,2024-02-20,CST_0353,PRD_134,Home & Kitchen,Central,Physical Retail Store,1,2599.0,2599.0,0.0,0.0,2599.0,,1035.32,0,Baseline / None,Retail Gold
TXN_000012,2024-05-20,CST_0748,PRD_159,Footwear,North-East,Physical Retail Store,2,4979.0,4979.0,0.0,0.0,9958.0,6138.28,3819.72,0,Baseline / None,Retail Silver
TXN_000013,2024-11-29,CST_0388,PRD_111,Consumer Electronics,East,E-Commerce Direct,4,40739.0,40739.0,0.0,0.0,162956.0,155794.2,7161.8,0,Baseline / None,Retail Gold
TXN_000014,2025-01-07,CST_0371,PRD_174,Beauty & Cosmetics,Central,Physical Retail Store,3,2249.0,1574.3,674.7,30.0,4722.9,2931.32,1791.58,1,EOSS Clearance,Retail Silver
TXN_000015,2025-10-30,CST_0072,PRD_106,Consumer Electronics,North-East,E-Commerce Marketplace,3,3789.0,3789.0,0.0,0.0,11367.0,10378.17,988.83,0,Baseline / None,Retail Silver
TXN_000016,2025-10-09,CST_0239,PRD_113,Consumer Electronics,South,Physical Retail Store,4,30999.0,24799.2,6199.8,20.0,99196.8,104340.44,-5143.64,1,Festive Dhamaka,Retail Silver
TXN_000017,2025-10-31,CST_0374,PRD_121,Apparel & Fashion,South,E-Commerce Direct,1,1139.0,911.2,227.8,20.0,911.2,595.66,315.54,1,Festive Dhamaka,Retail Standard
TXN_000018,2025-08-11,CST_0700,PRD_110,Consumer Electronics,Central,Physical Retail Store,1,29499.0,29499.0,0.0,0.0,29499.0,26574.97,2924.03,0,Baseline / None,Retail Standard
TXN_000019,2024-12-15,CST_0176,PRD_169,Beauty & Cosmetics,Central,Physical Retail Store,3,1959.0,1959.0,0.0,0.0,5877.0,2406.03,3470.97,0,Baseline / None,Retail Standard
TXN_000020,2024-04-17,CST_0168,PRD_160,Footwear,Central,Physical Retail Store,1,5439.0,5439.0,0.0,0.0,5439.0,3007.32,2431.68,0,Baseline / None,Retail Silver
TXN_000021,2024-06-07,CST_0656,PRD_172,Beauty & Cosmetics,Central,E-Commerce Direct,4,1889.0,1889.0,0.0,0.0,7556.0,4003.36,3552.64,0,Baseline / None,Retail Gold
TXN_000022,2024-08-28,CST_0058,PRD_130,Apparel & Fashion,North,E-Commerce Direct,2,799.0,799.0,0.0,0.0,1598.0,918.74,679.26,0,Baseline / None,Retail Platinum
TXN_000023,2024-02-05,CST_0411,PRD_135,Home & Kitchen,South,Physical Retail Store,2,1799.0,1583.12,215.88,12.0,3166.24,,1129.43,1,Flash Wednesday,Retail Silver
TXN_000024,2025-01-19,CST_0581,PRD_141,Home & Kitchen,North,Physical Retail Store,1,11339.0,7937.3,3401.7,30.0,7937.3,6976.57,960.73,1,EOSS Clearance,Retail Silver
TXN_000025,2024-12-27,CST_0512,PRD_151,FMCG & Personal Care,Central,Physical Retail Store,1,185.14,185.14,0.0,0.0,185.14,139.7,45.44,0,Baseline / None,Retail Standard
TXN_000026,2024-04-27,CST_0659,PRD_159,Footwear,North-East,E-Commerce Direct,4,4979.0,4152.49,826.51,16.6,16609.96,12775.66,3834.3,1,Flash Wednesday,Retail Standard
TXN_000027,2025-06-04,CST_0575,PRD_169,Beauty & Cosmetics,East,E-Commerce Direct,4,1959.0,1959.0,0.0,0.0,7836.0,3521.48,4314.52,0,Baseline / None,Retail Gold
TXN_000028,2025-01-12,CST_0598,PRD_152,FMCG & Personal Care,Central,Physical Retail Store,2,509.0,356.3,152.7,30.0,712.6,772.37,-59.77,1,EOSS Clearance,Retail Standard
TXN_000029,2025-08-06,CST_0142,PRD_166,Beauty & Cosmetics,East,E-Commerce Marketplace,1,1629.0,1629.0,0.0,0.0,1629.0,953.91,675.09,0,Baseline / None,Retail Standard
TXN_000030,2024-06-02,CST_0113,PRD_120,Apparel & Fashion,Central,Physical Retail Store,4,3609.0,3609.0,0.0,0.0,14436.0,7390.8,7045.2,0,Baseline / None,Retail Silver
TXN_000031,2024-02-19,CST_0697,PRD_155,FMCG & Personal Care,North,E-Commerce Direct,4,412.12,412.12,0.0,0.0,1648.48,1448.12,200.36,0,Baseline / None,Retail Standard
TXN_000032,2024-02-29,CST_0611,PRD_160,Footwear,East,E-Commerce Direct,1,5439.0,5439.0,0.0,0.0,5439.0,,2214.12,0,Baseline / None,Retail Standard
TXN_000033,2024-05-25,CST_0012,PRD_115,Consumer Electronics,West,E-Commerce Marketplace,2,39529.0,39529.0,0.0,0.0,79058.0,79481.36,-423.36,0,Baseline / None,Retail Silver
TXN_000034,2025-03-14,CST_0274,PRD_144,Home & Kitchen,South,E-Commerce Direct,3,9729.0,8561.52,1167.48,12.0,25684.56,19181.42,6503.14,1,Flash Wednesday,Retail Silver
TXN_000035,2025-07-14,CST_0465,PRD_101,Consumer Electronics,South,E-Commerce Direct,2,25909.0,25909.0,0.0,0.0,51818.0,45337.04,6480.96,0,Baseline / None,Retail Silver
TXN_000036,2025-11-03,CST_0513,PRD_123,Apparel & Fashion,North,Physical Retail Store,90,1739.0,1024.27,714.73,41.1,92184.3,69951.01,22233.29,1,Festive Dhamaka,B2B Enterprise
TXN_000037,2025-10-23,CST_0641,PRD_139,Home & Kitchen,North-East,Physical Retail Store,3,10229.0,10229.0,0.0,0.0,30687.0,22037.97,8649.03,0,Baseline / None,Retail Standard
TXN_000038,2025-02-22,CST_0204,PRD_120,Apparel & Fashion,North,E-Commerce Direct,4,3609.0,3338.33,270.67,7.5,13353.32,7870.8,5482.52,0,Baseline / None,Retail Standard
TXN_000039,2025-08-12,CST_0544,PRD_101,Consumer Electronics,East,E-Commerce Direct,1,25909.0,25909.0,0.0,0.0,25909.0,22668.52,3240.48,0,Baseline / None,Retail Gold
TXN_000040,2024-09-10,CST_0115,PRD_147,FMCG & Personal Care,West,Physical Retail Store,73,1019.0,815.2,203.8,20.0,59509.6,56222.41,3287.19,0,Baseline / None,B2B Enterprise
TXN_000041,2024-09-19,CST_0315,PRD_131,Home & Kitchen,North-East,E-Commerce Direct,3,5599.0,4927.12,671.88,12.0,14781.36,12023.01,2758.35,1,Flash Wednesday,Retail Standard
TXN_000042,2025-07-07,CST_0081,PRD_111,Consumer Electronics,North,Physical Retail Store,48,40739.0,36257.71,4481.29,11.0,1740370.08,1780556.42,-40186.34,0,Baseline / None,B2B SMB
TXN_000043,2025-04-03,CST_0546,PRD_117,Apparel & Fashion,South,Quick-Commerce,4,889.0,782.32,106.68,12.0,3129.28,1687.77,1441.51,1,Flash Wednesday,Retail Standard
TXN_000044,2024-10-28,CST_0487,PRD_171,Beauty & Cosmetics,North-East,Physical Retail Store,2,3379.0,2703.2,675.8,20.0,5406.4,3309.02,2097.38,1,Festive Dhamaka,Retail Silver
TXN_000045,2024-04-11,CST_0622,PRD_155,FMCG & Personal Care,North-East,E-Commerce Direct,3,412.12,412.12,0.0,0.0,1236.36,1086.09,150.27,0,Baseline / None,Retail Gold
TXN_000046,2025-09-12,CST_0748,PRD_126,Apparel & Fashion,North-East,Physical Retail Store,4,4869.0,4869.0,0.0,0.0,19476.0,8666.32,10809.68,0,Baseline / None,Retail Silver
TXN_000047,2024-12-18,CST_0409,PRD_148,FMCG & Personal Care,Central,E-Commerce Direct,1,1039.0,1039.0,0.0,0.0,1039.0,847.75,191.25,0,Baseline / None,Retail Gold
TXN_000048,2025-10-09,CST_0124,PRD_132,Home & Kitchen,Central,Physical Retail Store,2,10929.0,8743.2,2185.8,20.0,17486.4,14490.1,2996.3,1,Festive Dhamaka,Retail Silver
TXN_000049,2025-02-28,CST_0603,PRD_171,Beauty & Cosmetics,Central,E-Commerce Direct,1,3379.0,3155.99,223.01,6.6,3155.99,1803.39,1352.6,0,Baseline / None,Retail Platinum
